"分类","卡牌名称","代码类名","费用","类型","稀有度","关键词或属性","代码实际逻辑","升级效果","风险或备注","审核状态"
"生成构件","精密防护核心","PrecisionProtectionCore","1","技能","状态","精密构件；永久构件","获得5点格挡，再结算融锻效果","格挡5→8","不进入普通奖励池",""
"生成构件","临时切割器","TemporaryCutter","1","攻击","状态","一次性构件；消耗","对单体造成11点伤害，再结算融锻效果","伤害11→15","高效结构对正常消耗路径没有生效",""
"生成构件","应急护板","EmergencyPanel","1","技能","状态","一次性构件；消耗","获得10点格挡，再结算融锻效果","格挡10→14","高效结构对正常消耗路径没有生效",""
"生成构件","往返刀片","ReciprocatingBlade","0","攻击","状态","一次性构件；消耗；全体目标","对所有敌人造成6点伤害2次，再结算融锻效果","每段伤害6→9","高效结构对正常消耗路径没有生效",""
"生成构件","缓冲板","BufferPlate","0","技能","状态","一次性构件；消耗","获得10点格挡，再结算融锻效果","格挡10→15","高效结构对正常消耗路径没有生效",""
"第二阶段奖励","手动分拣","ManualSorting","1","技能","普通","无","查看代码认定的抽牌堆顶5张，强制选择2张加入手牌，其余不移动","查看5→7；选择2→3","需要实机确认TakeLast与牌堆顶方向一致",""
"第二阶段奖励","定向检索","DirectedRetrieval","0","技能","普通","一次性构件；消耗","从抽牌堆选择1张构件加入手牌，再结算融锻效果","可选择抽牌堆任意牌","高效结构对正常消耗路径没有生效",""
"第二阶段奖励","洪泛检索","FloodRetrieval","2","技能","普通","无","按打出时抽牌堆牌数循环：每轮尝试抽1张，再弃置最右侧1张其他手牌","费用2→1","不验证本轮抽牌是否成功，仍可能弃牌",""
"第二阶段奖励","精密毛坯","PrecisionBlank","1","技能","罕见","无","强制选择生成精密切割核心或精密防护核心到手牌","生成已升级的核心","",""
"第二阶段奖励","病毒针簇","VirusNeedleCluster","1","攻击","罕见","病毒构件；永久构件","造成5点伤害；随机1张其他手牌转化为全新的病毒针簇，再结算融锻效果","伤害5→8","转化目标不会继承本牌升级、融锻或加工状态",""
"循环能力","智能检索","SmartRetrieval","1","技能","罕见","无","可取消选择抽牌堆1张牌，为该实例添加粘性；随后抽3张牌","抽牌3→4","升级不提供粘性首张同名牌0费效果",""
"循环能力","迟滞分析","DelayedAnalysis","3","能力","稀有","无","本场战斗中，机械原料被消耗时向弃牌堆生成化合原料，化合原料被消耗时生成机械原料","费用3→2","只监听卡牌进入消耗事件",""
"循环能力","迅捷回收","RapidRecycling","1","技能","罕见","保留；消耗","消耗所有其他手牌；每张向抽牌堆加1张化合原料并向弃牌堆加1张机械原料；数量大于8时抽到手牌上限","移除消耗","阈值严格为大于8，不含8",""
"循环能力","先进钻井","AdvancedDrilling","2","能力","罕见","无","每个己方回合开始时随机生成1张机械原料或化合原料到手牌","费用2→1","",""
"循环能力","强吸引子","StrongAttractor","2","能力","稀有","无","每当抽到带原料关键词的牌，额外抽1张","费用2→1","连续原料可继续触发连锁抽牌",""
"循环能力","吸引子","Attractor","0","技能","罕见","无","获得3点格挡并抽1张；之后抽到原料时，若本实例在弃牌堆则返回手牌","格挡3→5","状态只记录最后打出的吸引子实例",""
"循环能力","筛选器","Filter","1","技能","罕见","永久构件","抽3张；随后反复单选弃置手牌，可随时取消结束，再结算融锻效果","抽牌3→4","交互为多次单选，不是一次多选",""
"加工牌","标准校准","StandardCalibration","1","技能","普通","工序","选择具有原生伤害或格挡效果的构件，把第一个对应类型追加为数值5的融锻效果","数值5→7；手动打出时目标从手牌改为抽牌堆","手动打出不使用投料；加工台执行消耗万能原料×1且目标始终来自手牌",""
"加工牌","外加弹簧","ExternalSpring","1","技能","罕见","工序","为构件添加弹簧；出牌后未消耗则返回手牌，满手时留在弃牌堆","费用1→0","手动打出不使用投料；加工台执行消耗机械原料×1；增加加工次数",""
"加工牌","固化处理","Solidification","2","技能","罕见","工序","只可选择一次性构件；移除一次性和消耗，添加永久","费用2→1","手动打出不使用投料；加工台执行消耗万能原料×1；增加加工次数",""
"加工牌","高效结构","EfficientStructure","1","技能","罕见","工序","标记构件为高效；当前仅脆弱构件在再次加工前损坏时改为生成万能原料","脆弱损坏时额外抽1张","手动打出不使用投料；加工台执行消耗化合原料×1；正常报废仍不生效",""
"加工牌","坚硬化","Hardening","1","技能","罕见","工序","只写入坚硬状态并增加加工次数","无代码变化","手动打出不使用投料；加工台执行消耗机械原料×1；没有后续代码读取坚硬状态",""
"加工牌","精简改良","StreamlinedImprovement","1","技能","罕见","工序","目标构件当前费用先永久增加2；此后每次打出后永久降低1，最低0","初始费用只增加1","手动打出不使用投料；加工台执行消耗万能原料×1",""
"加工牌","粘性涂层","StickyCoating","1","技能","罕见","工序","目标构件进入手牌时，把抽牌堆全部同类型牌移入手牌","第一个被拉出的同类型实例临时0费，打出后恢复","手动打出不使用投料；加工台执行消耗化合原料×1；手牌空间行为需实测",""
"加工牌","精密化","Precisionization","2","技能","稀有","工序","移除目标构件的脆弱关键词，添加精密关键词","费用2→1","手动打出不使用投料；加工台执行消耗万能原料×2",""
"加工牌","整体铸造","OverallCasting","2","技能","稀有","工序；消耗","先选择1张主体和最多3张不同材料，再逐次融锻；主体损坏时立即停止后续融锻","费用2→1","取消且未选择任何材料时不执行；加工台不消耗资源",""
"机械牌","便携电池","PortableBattery","0","技能","普通","一次性构件；未带消耗","在手牌中提供2点机械充能，支付时优先消耗；归零后转化为废料；主动打出无效果","充能2→3","主动打出后正常进弃牌堆；Charge不是能力状态字段",""
"蓝图牌","基础架设","BasicSetup","1","能力","普通","无","从简易机械臂、仓储室、分解室中选择1台安装，初始0电，上限5电","新机械初始2电","高级名字以外只使用通用机械类型逻辑",""
"蓝图牌","加工蓝图","ProcessingBlueprint","1","能力","罕见","无","从基础加工台、升级工作台、修复工作台中选择1台安装","本次选择增加免费刷新选项","三种工作台当前共享同一加工台逻辑",""
"蓝图牌","动力蓝图","PowerBlueprint","1","能力","罕见","无","从太阳能板、储能室、放电线圈中选择1台安装","安装后所有机械充1电","三种动力机械没有各自独立运行逻辑",""
"蓝图牌","精密架设","PrecisionSetup","2","能力","稀有","无","从精密机械臂、高级加工台、智能仓储室中选择1台安装，初始0电，上限5电","新机械初始2电，上限7电","高级机械当前主要复用通用类型逻辑",""
"自动化","自动装填协议","AutoLoadProtocol","1","能力","罕见","无","构件进入手牌时，排队装入最左侧空机械臂","每回合第一次成功装牌后抽1张","升级抽牌也会被手动装牌触发",""
"自动化","自动启机协议","AutoStartProtocol","1","能力","罕见","无","任意构件装入机械臂后自动尝试启动","每回合第一次成功启动后返还该机械1电","手动装牌也触发自动启动",""
"自动化","自启动总线","SelfStartingBus","2","能力","稀有","无","机械累计打出3张构件后，所有机械充1电并抽1张","阈值3→2","计数仅由机械臂成功打牌路径增加",""
"自动化","蓝图重写","BlueprintRewrite","1","能力","稀有","无","后续蓝图增加2个随机额外选项并获得免费刷新","打出时立即从3个随机蓝图中额外安装1台","额外选项可来自全部12种蓝图",""
"稀有构件","病毒母体","VirusMother","2","攻击","稀有","病毒构件；永久构件","造成7点伤害；随机其他手牌转化为全新的病毒母体，再结算融锻效果","伤害7→10","卡面称完整复制，但代码不复制升级、融锻或加工状态",""
"自动化","递归加工","RecursiveProcessing","2","能力","稀有","无","精密构件在加工台完成本次加工后累计3次加工：生成1张万能原料并给当前加工台充1电，然后次数归零","阈值3→2","手工装配会先增加本次融锻计数，再检查触发",""
"稀有构件","主控核心","MasterControlCore","3","技能","稀有","精密构件；永久构件","依次启动所有当前验证可启动的机械；每成功启动1台获得2点格挡，再结算融锻效果","每成功启动2台抽1张，向下取整","成功数按启动前验证结果计数",""
"资源牌","机械原料","MechanicalMaterial","0","状态","状态","不可打出；原料","无主动效果；供制造、工序和事件消耗","不可升级","手牌满时部分生成路径会改入弃牌堆",""
"资源牌","化合原料","CompoundMaterial","0","状态","状态","不可打出；原料","无主动效果；供制造、工序和事件消耗","不可升级","手牌满时部分生成路径会改入弃牌堆",""
"资源牌","万能原料","UniversalMaterial","0","状态","状态","不可打出；原料","无主动效果；可替代工序材料","不可升级","工序支付优先消耗专用原料，再消耗万能原料",""
"资源牌","废料","KillerFactoryScrap","0","状态","状态","不可打出；废料","无主动效果；供回收、分解和仓储","不可升级","",""
"蓝图选项","蓝图：简易机械臂","ArmBlueprintOption","0","状态","状态","选择界面选项","安装名为简易机械臂的机械臂","不可升级","同名机械臂不可重复安装",""
"蓝图选项","蓝图：仓储室","StorageBlueprintOption","0","状态","状态","选择界面选项","安装名为仓储室的仓储机械","不可升级","仓储只支持装入和取回",""
"蓝图选项","蓝图：分解室","DecomposerBlueprintOption","0","状态","状态","选择界面选项","安装名为分解室的分解机械","不可升级","启动消耗1电并把缓存原料或废料移入消耗区，无额外产物",""
"蓝图选项","蓝图：加工台","ProcessingTableBlueprintOption","0","状态","状态","选择界面选项","安装名为基础加工台的加工台","不可升级","同名加工台不可重复安装",""
"蓝图选项","蓝图：升级工作台","UpgradeTableBlueprintOption","0","状态","状态","选择界面选项","安装名为升级工作台的加工台","不可升级","与基础加工台共享逻辑",""
"蓝图选项","蓝图：修复工作台","RepairTableBlueprintOption","0","状态","状态","选择界面选项","安装名为修复工作台的加工台","不可升级","与基础加工台共享逻辑；修复生命周期未实现",""
"蓝图选项","蓝图：太阳能板","SolarBlueprintOption","0","状态","状态","选择界面选项","安装名为太阳能板的动力机械","不可升级","动力机械无独立运行逻辑且不可手动启动",""
"蓝图选项","蓝图：储能室","EnergyStorageBlueprintOption","0","状态","状态","选择界面选项","安装名为储能室的动力机械","不可升级","不是仓储类型；无独立储能支付逻辑",""
"蓝图选项","蓝图：放电线圈","CoilBlueprintOption","0","状态","状态","选择界面选项","安装名为放电线圈的动力机械","不可升级","无独立放电逻辑",""
"蓝图选项","蓝图：精密机械臂","PrecisionArmBlueprintOption","0","状态","状态","选择界面选项","安装名为精密机械臂的机械臂","不可升级","与普通机械臂共享逻辑",""
"蓝图选项","蓝图：高级加工台","AdvancedTableBlueprintOption","0","状态","状态","选择界面选项","安装名为高级加工台的加工台","不可升级","与普通加工台共享逻辑",""
"蓝图选项","蓝图：智能仓储室","SmartStorageBlueprintOption","0","状态","状态","选择界面选项","安装名为智能仓储室的仓储机械","不可升级","与普通仓储共享逻辑",""
"蓝图选项","刷新蓝图","RefreshBlueprintOption","0","状态","状态","选择界面选项","重新随机/重建本次蓝图候选，然后再次选择","不可升级","刷新后的候选仅来自当前蓝图牌自身基础选项，不保留额外跨类选项",""
"仅本地化","送料泵","FeedPump","","","","仅有中文本地化","当前没有对应C#卡牌类","","不会注册或进入卡池",""
"仅本地化","反应模具","ReactionMold","","","","仅有中文本地化","当前没有对应C#卡牌类","","不会注册或进入卡池",""
"仅本地化","往复锯","ReciprocatingCutter","","","","仅有中文本地化","当前没有对应C#卡牌类","","不会注册或进入卡池",""
"仅本地化","复位挡板","ReturnPlate","","","","仅有中文本地化","当前没有对应C#卡牌类","","不会注册或进入卡池",""
